date,transition,asset,pre_cum_ret,post_cum_ret
2011-07-29,0 -> 1,原油,0.0263,-0.0426
2011-07-29,0 -> 1,煤炭,0.0,0.0
2012-04-06,1 -> 0,黄金,-0.033,-0.0611
2012-04-06,1 -> 0,白银,-0.0375,-0.1218
2012-04-06,1 -> 0,铜,-0.0208,-0.0996
2012-04-06,1 -> 0,原油,0.083,-0.1316
2012-04-06,1 -> 0,煤炭,0.0,0.0
2012-05-04,0 -> 1,黄金,-0.0281,-0.0565
2012-05-04,0 -> 1,白银,-0.114,-0.1415
2012-05-04,0 -> 1,铜,-0.0225,-0.1329
2012-05-04,0 -> 1,原油,-0.0401,-0.2448
2012-05-04,0 -> 1,煤炭,0.0,0.0
2012-08-31,1 -> 0,黄金,0.0408,0.0322
2012-08-31,1 -> 0,白银,0.1104,0.0473
2012-08-31,1 -> 0,铜,-0.0006,0.0423
2012-08-31,1 -> 0,原油,0.2045,-0.0212
2012-08-31,1 -> 0,煤炭,0.0,0.0
2012-12-28,0 -> 1,黄金,-0.0318,-0.0297
2012-12-28,0 -> 1,白银,-0.0643,-0.0065
2012-12-28,0 -> 1,铜,0.0013,0.0528
2012-12-28,0 -> 1,原油,-0.0008,0.0706
2012-12-28,0 -> 1,煤炭,0.0,0.0
2013-01-04,1 -> 0,黄金,-0.0139,-0.0492
2013-01-04,1 -> 0,白银,-0.0317,-0.049
2013-01-04,1 -> 0,铜,0.0297,-0.0111
2013-01-04,1 -> 0,原油,0.0296,0.0286
2013-01-04,1 -> 0,煤炭,0.0,0.0
2013-04-19,0 -> 1,黄金,-0.0758,-0.0684
2013-04-19,0 -> 1,白银,-0.1238,-0.1727
2013-04-19,0 -> 1,铜,-0.1009,-0.0239
2013-04-19,0 -> 1,原油,-0.1302,0.0292
2013-04-19,0 -> 1,煤炭,-0.0458,-0.1381
2013-04-26,1 -> 0,黄金,-0.1098,-0.0141
2013-04-26,1 -> 0,白银,-0.1889,-0.0483
2013-04-26,1 -> 0,铜,-0.1069,0.0082
2013-04-26,1 -> 0,原油,-0.1246,0.0641
2013-04-26,1 -> 0,煤炭,-0.0821,-0.1144
2013-05-03,0 -> 1,黄金,-0.0756,-0.1103
2013-05-03,0 -> 1,白银,-0.158,-0.1651
2013-05-03,0 -> 1,铜,-0.0786,-0.0416
2013-05-03,0 -> 1,原油,-0.0617,-0.0265
2013-05-03,0 -> 1,煤炭,-0.1018,-0.116
2014-01-03,1 -> 0,黄金,-0.0746,0.0914
2014-01-03,1 -> 0,白银,-0.0852,0.0899
2014-01-03,1 -> 0,铜,0.0203,-0.0395
2014-01-03,1 -> 0,原油,0.0459,-0.0164
2014-01-03,1 -> 0,煤炭,-0.0345,-0.0995
2014-06-27,0 -> 1,黄金,0.011,-0.0082
2014-06-27,0 -> 1,白银,0.0557,-0.0638
2014-06-27,0 -> 1,铜,0.0076,-0.0008
2014-06-27,0 -> 1,原油,0.0494,-0.1069
2014-06-27,0 -> 1,煤炭,-0.0415,-0.0124
2015-07-24,1 -> 0,黄金,-0.0599,-0.0269
2015-07-24,1 -> 0,白银,-0.1325,-0.0243
2015-07-24,1 -> 0,铜,-0.106,-0.0176
2015-07-24,1 -> 0,原油,-0.1326,-0.1523
2015-07-24,1 -> 0,煤炭,-0.0881,-0.0612
2015-08-21,0 -> 1,黄金,-0.0713,0.038
2015-08-21,0 -> 1,白银,-0.0577,0.0422
2015-08-21,0 -> 1,铜,-0.091,0.0327
2015-08-21,0 -> 1,原油,-0.2191,0.0763
2015-08-21,0 -> 1,煤炭,-0.0839,-0.0659
2016-05-27,1 -> 0,黄金,0.0269,0.0582
2016-05-27,1 -> 0,白银,0.0847,0.2208
2016-05-27,1 -> 0,铜,-0.0811,0.0858
2016-05-27,1 -> 0,原油,0.2057,-0.0238
2016-05-27,1 -> 0,煤炭,0.181,0.0234
2017-06-02,0 -> 1,黄金,0.0071,-0.0041
2017-06-02,0 -> 1,白银,-0.0469,-0.0515
2017-06-02,0 -> 1,铜,-0.0328,0.0598
2017-06-02,0 -> 1,原油,-0.0192,-0.0589
2017-06-02,0 -> 1,煤炭,-0.1636,0.2217
2017-08-25,1 -> 0,黄金,0.0244,0.0116
2017-08-25,1 -> 0,白银,0.0198,0.023
2017-08-25,1 -> 0,铜,0.1236,0.0586
2017-08-25,1 -> 0,原油,0.1373,0.0993
2017-08-25,1 -> 0,煤炭,0.4232,-0.1929
2018-05-25,0 -> 1,黄金,-0.0438,-0.033
2018-05-25,0 -> 1,白银,-0.0052,-0.0393
2018-05-25,0 -> 1,铜,0.0286,-0.0929
2018-05-25,0 -> 1,原油,0.1301,-0.0515
